X,Y,PoliceUseOfForceID,CaseNumber,ResponseDate,Problem,Is911Call,PrimaryOffense,SubjectInjury,ForceReportNumber,SubjectRole,SubjectRoleNumber,ForceType,ForceTypeAction,Race,Sex,EventAge,TypeOfResistance,Precinct,Neighborhood
-93.22566987,44.9730441,20826012,21-053179,2021/03/14 10:53:40+00,Damage Property-Rpt Only ,Yes,BURGB   ,No,2,ARRESTEE                                               ,1,Bodily Force,Takedown,White,Male,36,Commission of a Crime                                                          ,2,Prospect Park - East River Road
-93.22566987,44.9730441,20834303,21-053179,2021/03/14 10:53:40+00,Damage Property-Rpt Only ,Yes,BURGB   ,No,2,ARRESTEE                                               ,1,Maximal Restraint Technique,Side Recovery Position,White,Male,36,Commission of a Crime                                                          ,2,Prospect Park - East River Road
-93.27222526,44.94835398,20826704,21-038181,2021/02/23 15:19:09+00,Suspicious Vehicle ,No,PFARM   ,No,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,48,X,3,Phillips West
-93.27222526,44.94835398,20829971,21-038181,2021/02/23 15:19:09+00,Suspicious Vehicle ,No,PFARM   ,No,1,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,48,X,3,Phillips West
-93.2505519,44.95374591,20822508,21-030395,2021/02/12 09:56:14+00,Suspicious Vehicle ,No,ASLT2   ,No,2,ARRESTEE                                               ,2,Bodily Force,Body Weight Pin,Native American,Male,33,X,3,East Phillips
-93.21567023,44.91626633,20823839,21-004619,2021/01/07 14:14:23+00,Assist Fire Personnel ,No,ASLT4   ,No,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Native American,Female,31,Assaulted Officer                                                              ,3,Hiawatha
-93.27809288,44.90456457,20823975,20-319324,2020/12/26 16:37:51+00,Fight ,Yes,AOA     ,Yes,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,32,Assaulted Officer                                                              ,5,Tangletown
-93.27949587,44.98431023,20822895,20-312574,2020/12/17 01:33:57+00,Burglary Biz - In Progress ,Yes,DAMPRP  ,No,1,Citee                                                  ,1,Bodily Force,Body Weight Pin,White,Male,30,Tensed                                                                         ,1,North Loop
-93.28133076,44.95134737,20825069,20-312426,2020/12/16 20:57:21+00,Suspicious Person ,No,WT      ,No,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Native American,Male,34,Tensed                                                                         ,5,Whittier
-93.28133076,44.95134737,20829374,20-312426,2020/12/16 20:57:21+00,Suspicious Person ,No,WT      ,No,1,ARRESTEE                                               ,1,Bodily Force,Joint Lock,Native American,Male,34,Tensed                                                                         ,5,Whittier
-93.25352553,44.96137949,20829610,20-312225,2020/12/16 15:33:13+00,Unknown Trouble ,Yes,DASLT5  ,No,1,ARRESTEE                                               ,1,Taser,Firing Darts,Black,Male,22,Commission of a Crime                                                          ,3,Ventura Village
