X,Y,PoliceUseOfForceID,CaseNumber,ResponseDate,Problem,Is911Call,PrimaryOffense,SubjectInjury,ForceReportNumber,SubjectRole,SubjectRoleNumber,ForceType,ForceTypeAction,Race,Sex,EventAge,TypeOfResistance,Precinct,Neighborhood
-93.24985487,44.98481016,20824651,20-139645,2020/05/24 19:45:35+00,Check the Welfare ,Yes,THREAT  ,No,1,ARRESTEE                                               ,1,Bodily Force,Takedown,White,Male,26,Fled on Foot                                                                   ,2,Marcy Holmes
-93.24985487,44.98481016,20833706,20-139645,2020/05/24 19:45:35+00,Check the Welfare ,Yes,THREAT  ,No,2,ARRESTEE                                               ,1,Bodily Force,Takedown,White,Male,26,Tensed                                                                         ,2,Marcy Holmes
-93.28539129,44.97915602,20821690,20-139099,2020/05/24 06:38:14+00,Assault in Progress ,Yes,ASLT5   ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Knee,Black,Male,48,Tensed                                                                         ,1,North Loop
-93.28539129,44.97915602,20821918,20-139099,2020/05/24 06:38:14+00,Assault in Progress ,Yes,ASLT5   ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Body Weight Pin,Black,Male,48,Tensed                                                                         ,1,North Loop
-93.28539129,44.97915602,20825854,20-139099,2020/05/24 06:38:14+00,Assault in Progress ,Yes,ASLT5   ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Takedown,Black,Male,48,Tensed                                                                         ,1,North Loop
-93.28539129,44.97915602,20833811,20-139099,2020/05/24 06:38:14+00,Assault in Progress ,Yes,ASLT5   ,No,1,PERSON IN CRISIS                                       ,1,Taser,Touch,Black,Male,48,Tensed                                                                         ,1,North Loop
-93.27292145,44.97390086,20835487,20-138566,2020/05/23 19:20:36+00,Disturbance ,Yes,ASLT4   ,No,1,SUBJECT                                                ,1,Bodily Force,Takedown,Black,Female,15,Assaulted Officer                                                              ,1,Downtown West
-93.29495668,45.01313258,20822709,20-137726,2020/05/22 22:54:14+00,Traffic Law Enforcement ,No,MJINMV  ,No,1,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,40,Verbal Non-Compliance                                                          ,4,Jordan
-93.27949587,44.98431023,20822522,20-137621,2020/05/22 21:49:26+00,Suspicious Person ,No,WT      ,No,2,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,26,Fled on Foot                                                                   ,1,North Loop
-93.27949587,44.98431023,20824992,20-137621,2020/05/22 21:49:26+00,Suspicious Person ,No,WT      ,No,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,26,Fled on Foot                                                                   ,1,North Loop
-93.27949587,44.98431023,20830570,20-137621,2020/05/22 21:49:26+00,Suspicious Person ,No,WT      ,No,1,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,26,Fled on Foot                                                                   ,1,North Loop
-93.27949587,44.98431023,20834287,20-137621,2020/05/22 21:49:26+00,Suspicious Person ,No,WT      ,No,2,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,26,Fled on Foot                                                                   ,1,North Loop
-93.3016143,44.91038639,20828615,20-137573,2020/05/22 21:06:54+00,Check the Welfare ,Yes,CIC     ,No,1,PERSON IN CRISIS                                       ,1,Taser,Red Dot,White,Male,20,Fled on Foot                                                                   ,5,Lynnhurst
-93.3016143,44.91038639,20833718,20-137573,2020/05/22 21:06:54+00,Check the Welfare ,Yes,CIC     ,No,2,PERSON IN CRISIS                                       ,1,Bodily Force,Body Weight Pin,White,Male,20,Fled on Foot                                                                   ,5,Lynnhurst
-93.3016143,44.91038639,20833919,20-137573,2020/05/22 21:06:54+00,Check the Welfare ,Yes,CIC     ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Body Weight Pin,White,Male,20,Fled on Foot                                                                   ,5,Lynnhurst
-93.28846746,44.96677907,20821584,20-137365,2020/05/22 18:27:47+00,Check the Welfare ,Yes,OBSTRU  ,No,2,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Native American,Male,36,Other                                                                          ,5,Lowry Hill
-93.28846746,44.96677907,20822416,20-137365,2020/05/22 18:27:47+00,Check the Welfare ,Yes,OBSTRU  ,No,2,ARRESTEE                                               ,1,Taser,Touch,Native American,Male,36,Other                                                                          ,5,Lowry Hill
-93.28846746,44.96677907,20823026,20-137365,2020/05/22 18:27:47+00,Check the Welfare ,Yes,OBSTRU  ,No,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Native American,Male,36,Other                                                                          ,5,Lowry Hill
-93.28846746,44.96677907,20823170,20-137365,2020/05/22 18:27:47+00,Check the Welfare ,Yes,OBSTRU  ,No,3,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Native American,Male,36,Tensed                                                                         ,5,Lowry Hill
-93.28846746,44.96677907,20833823,20-137365,2020/05/22 18:27:47+00,Check the Welfare ,Yes,OBSTRU  ,No,3,ARRESTEE                                               ,1,Taser,Red Dot,Native American,Male,36,Tensed                                                                         ,5,Lowry Hill
-93.25186442,44.94836706,20821692,20-136542,2020/05/21 23:26:24+00,Traffic Law Enforcement ,No,DWI     ,No,2,INVOLVED                                               ,1,Bodily Force,Takedown,Black,Male,48,Other                                                                          ,3,East Phillips
-93.25186442,44.94836706,20821812,20-136542,2020/05/21 23:26:24+00,Traffic Law Enforcement ,No,DWI     ,No,1,INVOLVED                                               ,1,Bodily Force,Body Weight Pin,Black,Male,48,Other                                                                          ,3,East Phillips
-93.25186442,44.94836706,20825748,20-136542,2020/05/21 23:26:24+00,Traffic Law Enforcement ,No,DWI     ,No,2,INVOLVED                                               ,1,Bodily Force,Body Weight Pin,Black,Male,48,Other                                                                          ,3,East Phillips
-93.25186442,44.94836706,20825853,20-136542,2020/05/21 23:26:24+00,Traffic Law Enforcement ,No,DWI     ,No,1,INVOLVED                                               ,1,Bodily Force,Takedown,Black,Male,48,Other                                                                          ,3,East Phillips
-93.30828599,45.02136805,20834181,20-136095,2020/05/21 17:36:03+00,Attempted Suicide ,Yes,FORCE   ,Yes,1,INVOLVED                                               ,1,Bodily Force,Push Away,White,Female,31,Tensed                                                                         ,4,Folwell
-93.31014991,45.0114392,20824545,20-134708,2020/05/20 15:42:04+00,High Risk Warrant Entry ,No,FINFO   ,No,1,INVOLVED                                               ,5,Bodily Force,Body Weight Pin,Black,Male,19,Other                                                                          ,4,Jordan
-93.28193041,44.89540096,20821917,20-134146,2020/05/20 00:27:14+00,Chase on Foot ,Yes,CIC     ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Body Weight Pin,Black,Male,16,Other                                                                          ,5,Windom
-93.28193041,44.89540096,20828509,20-134146,2020/05/20 00:27:14+00,Chase on Foot ,Yes,CIC     ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Takedown,Black,Male,16,Other                                                                          ,5,Windom
