reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,policePrecinct,neighborhood
Citizen / 9-1-1,Suspicious Vehicle (P),TRN-Transport,NO,YES,NO,White,White,Female,Three,Powderhorn Park
Investigative,Suspicious Person (P),TAG-Tagged,YES,YES,NO,Black,Black,Male,Four,Near/North
Investigative,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Black,Black,Male,Four,Willard/Hay
Investigative,Suspicious Vehicle (P),ADV-Advised,NO,YES,NO,White,White,Male,Five,Whittier
Investigative,Suspicious Person (P),ADV-Advised,NO,YES,NO,Native American,Native American,Male,Three,Midtown Phillips
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Male,One,Downtown West
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Unknown,Black,Male,Four,Webber/Camden
Investigative,Attempt Pick-Up (P),BKG-Booking,NO,YES,NO,White,White,Male,One,Downtown West
Investigative,Suspicious Person (P),ADV-Advised,NO,YES,NO,East African,East African,Female,Two,Prospect Park/East River Road
Investigative,Suspicious Person (P),TRN-Transport,NO,YES,NO,Black,Black,Male,One,Downtown West
Investigative,Suspicious Person (P),TRN-Transport,NO,YES,NO,Black,Black,Male,One,Downtown West
Investigative,Attempt Pick-Up (P),BKG-Booking,NO,YES,NO,White,White,Male,Two,Beltrami
Equipment Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,NO,Unknown,Black,Female,Five,Whittier
Investigative,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,Black,Male,Four,Willard/Hay
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,NO,Unknown,Native American,Female,Three,Midtown Phillips
Investigative,Suspicious Person (P),ADV-Advised,NO,YES,NO,Unknown,Latino,Male,Three,Powderhorn Park
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Native American,Native American,Male,One,Cedar Riverside
Citizen / 9-1-1,Suspicious Person (P),BKG-Booking,NO,YES,NO,White,White,Female,One,Elliot Park
Citizen / 9-1-1,Suspicious Person (P),BKG-Booking,NO,YES,NO,Native American,Native American,Male,Three,Corcoran
Citizen / 9-1-1,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Male,One,Cedar Riverside
Investigative,Suspicious Person (P),BKG-Booking,YES,YES,NO,Black,Black,Male,Four,Near/North
Investigative,Suspicious Person (P),SNT-Sent,NO,YES,NO,East African,East African,Male,Two,Prospect Park/East River Road
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Unknown,Black,Male,Five,Whittier
Investigative,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,Black,Male,Four,Folwell
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Black,Black,Male,Three,East Phillips
Investigative,Suspicious Person (P),ADV-Advised,NO,YES,NO,Black,Black,Male,Three,East Phillips
Investigative,Suspicious Person (P),TAG-Tagged,YES,YES,NO,Unknown,Black,Male,Three,Midtown Phillips
Citizen / 9-1-1,Suspicious Person (P),TAG-Tagged,YES,YES,NO,Black,Black,Male,Three,Phillips West
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Unknown,Black,Male,Five,CARAG
Investigative,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Unknown,Unknown,Male,Five,Lowry Hill East
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Unknown,White,Male,Four,McKinley
Investigative,Suspicious Person (P),SNT-Sent,NO,YES,NO,Black,Black,Male,One,Downtown West
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Latino,Latino,Male,One,North Loop
Equipment Violation,Attempt Pick-Up (P),INS-Inservice,YES,YES,NO,Unknown,Other,Gender Non-Conforming,Four,Victory
Citizen / 9-1-1,Attempt Pick-Up (P),BKG-Booking,NO,YES,NO,Black,Black,Male,Four,Willard/Hay
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Male,One,Downtown West
Citizen / 9-1-1,Suspicious Person (P),TRN-Transport,NO,YES,NO,Black,Black,Male,Two,Marcy Holmes
Citizen / 9-1-1,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,White,Male,Five,Tangletown
Investigative,Suspicious Person (P),TAG-Tagged,YES,YES,NO,White,White,Male,One,Downtown West
Investigative,Suspicious Vehicle (P),RPT-Report,NO,YES,NO,Unknown,East African,Male,One,Cedar Riverside
Investigative,Suspicious Person (P),ADV-Advised,NO,YES,NO,Black,Black,Male,One,Downtown West
Investigative,Suspicious Person (P),ADV-Advised,NO,YES,NO,Black,Black,Male,One,Downtown West
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,YES,Native American,Native American,Male,One,Downtown East
Citizen / 9-1-1,Suspicious Person (P),BKG-Booking,NO,YES,NO,White,White,Male,Four,Jordan
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,YES,East African,East African,Female,Five,CARAG
Investigative,Suspicious Person (P),ADV-Advised,NO,YES,NO,Unknown,Other,Male,Three,Phillips West
Citizen / 9-1-1,Suspicious Vehicle (P),BKG-Booking,NO,YES,NO,Black,Black,Female,Three,Central
Citizen / 9-1-1,Suspicious Person (P),SNT-Sent,NO,YES,NO,Unknown,Black,Male,Three,Ventura Village
Investigative,Suspicious Vehicle (P),BKG-Booking,NO,YES,NO,Native American,Native American,Female,Three,Powderhorn Park
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Unknown,Black,Female,Four,Near/North
Investigative,Traffic Law Enforcement (P),BKG-Booking,NO,YES,NO,Unknown,Native American,Female,Three,Phillips West
Investigative,Suspicious Vehicle (P),BKG-Booking,YES,YES,YES,Unknown,Black,Male,Four,Webber/Camden
Investigative,Suspicious Vehicle (P),BKG-Booking,NO,YES,NO,Other,Other,Female,Three,Powderhorn Park
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Unknown,Black,Male,Four,Cleveland
Investigative,Suspicious Vehicle (P),BKG-Booking,NO,YES,NO,Black,Black,Gender Non-Conforming,Three,Powderhorn Park
Citizen / 9-1-1,Suspicious Person (P),SNT-Sent,NO,YES,NO,Native American,Native American,Female,Three,East Phillips
Investigative,Suspicious Person (P),ADV-Advised,NO,YES,NO,Black,Black,Male,Four,Jordan
Citizen / 9-1-1,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,White,Male,Five,Whittier
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Native American,Native American,Male,Three,East Phillips
Equipment Violation,Suspicious Vehicle (P),TAG-Tagged,YES,YES,NO,Black,Black,Male,Two,Marshall Terrace
Equipment Violation,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,Black,Male,Four,Jordan
Investigative,Attempt Pick-Up (P),BKG-Booking,NO,YES,NO,Black,Black,Male,Three,Standish
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Male,One,Downtown West
