reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,policePrecinct,neighborhood
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,Five,Linden Hills
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,Five,Fulton
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,Five,Lowry Hill East
Citizen / 9-1-1,Suspicious Person (P),NOS-No Service,NO,NO,NO,Unknown,Unknown,Male,Five,Lyndale
Investigative,Attempt Pick-Up (P),UTL-Unable to Locate,NO,NO,NO,White,White,Male,Five,Lynnhurst
Citizen / 9-1-1,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,Latino,Male,Four,McKinley
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,Three,Minnehaha
Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Latino,Latino,Female,Five,Windom
Moving Violation,Traffic Law Enforcement (P),RPR-Reprimand/Release,NO,NO,NO,Unknown,East African,Male,Three,Powderhorn Park
Investigative,Attempt Pick-Up (P),GOA-Gone on Arrival,NO,NO,NO,White,White,Female,One,Elliot Park
Citizen / 9-1-1,Suspicious Person (P),SNT-Sent,NO,NO,NO,White,White,Female,Five,Lowry Hill East
Investigative,Traffic Law Enforcement (P),BKG-Booking,NO,NO,NO,Unknown,East African,Female,Three,Seward
Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,Two,Holland
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,East African,East African,Male,Two,Sheridan
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Black,Unknown,Male,Three,Howe
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Latino,Male,Two,Holland
Equipment Violation,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,Two,Sheridan
Citizen / 9-1-1,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,Four,Shingle Creek
Investigative,Suspicious Person (P),SNT-Sent,NO,NO,NO,Unknown,Unknown,Unknown,One,Downtown West
Investigative,Traffic Law Enforcement (P),AOK- All OK,NO,NO,NO,Unknown,White,Male,Five,Kenny
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,Two,Holland
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,East African,Male,Two,St. Anthony West
Citizen / 9-1-1,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,Two,Beltrami
Citizen / 9-1-1,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Unknown,Unknown,Unknown,One,Loring Park
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,NO,NO,NO,Unknown,White,Female,Two,Logan Park
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Five,Lyndale
Citizen / 9-1-1,Suspicious Person (P),RPT-Report,NO,YES,NO,Unknown,East African,Male,Three,East Phillips
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,Five,Windom
Citizen / 9-1-1,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Unknown,Four,Willard/Hay
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,White,Unknown,Male,Two,St. Anthony East
Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,Four,Lind - Bohanon
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,Five,Windom
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,Two,Marcy Holmes
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,One,Downtown West
Investigative,Suspicious Vehicle (P),RPT-Report,NO,YES,YES,Unknown,Black,Female,Five,Tangletown
Investigative,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,NO,Black,Black,Male,Five,Whittier
Investigative,Suspicious Vehicle (P),UTL-Unable to Locate,NO,NO,NO,Unknown,Unknown,Unknown,Three,Wenonah
Citizen / 9-1-1,Suspicious Person (P),SNT-Sent,NO,NO,NO,White,White,Female,One,Downtown West
Investigative,Suspicious Person (P),AOK- All OK,NO,NO,NO,Unknown,White,Male,Five,ECCO
Citizen / 9-1-1,Suspicious Person (P),TRN-Transport,NO,YES,NO,Native American,Native American,Male,Three,Ericsson
Citizen / 9-1-1,Suspicious Person (P),NOS-No Service,NO,NO,NO,White,White,Male,One,Downtown West
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,Three,Midtown Phillips
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,NO,NO,NO,Unknown,Black,Female,Three,Ventura Village
Investigative,Suspicious Person (P),ADV-Advised,NO,NO,NO,White,White,Male,Three,Ventura Village
Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Black,Unknown,Male,Four,Folwell
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Black,Unknown,Male,Five,Lowry Hill
Citizen / 9-1-1,Attempt Pick-Up (P),UTL-Unable to Locate,NO,NO,NO,Unknown,Unknown,Unknown,One,Elliot Park
Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,Two,Holland
Investigative,Suspicious Person (P),SNT-Sent,NO,NO,NO,Black,Black,Male,One,Downtown East
Citizen / 9-1-1,Suspicious Vehicle (P),TAG-Tagged,YES,YES,YES,Unknown,Unknown,Male,Three,Ventura Village
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,Five,Windom
Investigative,Suspicious Person (P),SNT-Sent,NO,NO,NO,Unknown,Unknown,Male,One,Elliot Park
Investigative,Suspicious Vehicle (P),TOW-Towed,YES,NO,NO,Unknown,Unknown,Unknown,Two,Marshall Terrace
Citizen / 9-1-1,Suspicious Vehicle (P),UTL-Unable to Locate,NO,NO,NO,Unknown,Unknown,Unknown,Three,Hiawatha
Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Unknown,Unknown,Male,Four,Jordan
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,Five,King Field
Citizen / 9-1-1,Suspicious Person (P),TRN-Transport,NO,YES,NO,Black,Black,Male,Five,Lowry Hill East
Citizen / 9-1-1,Suspicious Person (P),AOK- All OK,NO,NO,NO,Unknown,Unknown,Unknown,Four,Willard/Hay
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,One,North Loop
Citizen / 9-1-1,Suspicious Person (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,One,Downtown West
Investigative,Attempt Pick-Up (P),BKG-Booking,NO,YES,NO,Native American,Native American,Male,Five,Whittier
Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,Four,Willard/Hay
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Latino,Male,Five,Lowry Hill East
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Unknown,Four,Sumner/Glenwood
